adm_1_name,Year,Month,YearMonth,dengue_total_month
TAY NINH,2005,9,2005-09-01,117.0
THAI BINH,2005,9,2005-09-01,0.0
THAI NGUYEN,2005,9,2005-09-01,0.0
THANH HOA,2005,9,2005-09-01,84.0
THUA THIEN - HUE,2005,9,2005-09-01,10.0
TIEN GIANG,2005,9,2005-09-01,557.0
TRA VINH,2005,9,2005-09-01,312.0
TUYEN QUANG,2005,9,2005-09-01,0.0
VINH LONG,2005,9,2005-09-01,169.0
VINH PHUC,2005,9,2005-09-01,3.0
YEN BAI,2005,9,2005-09-01,0.0
AN GIANG,2005,10,2005-10-01,275.0
BA RIA-VUNG TAU,2005,10,2005-10-01,74.0
BAC GIANG,2005,10,2005-10-01,0.0
BAC KAN,2005,10,2005-10-01,0.0
